train_acc,train_loss,val_acc,val_loss
0.042231578947368426,4.256001,0.0632,4.084593
0.07524210526315792,3.924896,0.10279999999999999,3.7820163
0.11136842105263159,3.691292,0.11320000000000001,3.6237857
0.16010526315789475,3.4339397,0.1696,3.4542572
0.2056842105263158,3.190202,0.22,3.1586752
0.24541052631578947,2.968139,0.2576,2.9200754
0.2807789473684211,2.7744892,0.2904,2.7275002
0.3154526315789474,2.6115577,0.316,2.5954351
0.34414736842105265,2.4790475,0.32360000000000005,2.53469
0.3718526315789474,2.3560834,0.3636000000000001,2.3870428
0.394,2.256154,0.39640000000000003,2.2844765
0.41254736842105266,2.1618667,0.3972,2.231428
0.4306105263157895,2.0865211,0.42400000000000004,2.1087751
0.4492,2.0053105,0.40159999999999996,2.2096536
0.4637684210526316,1.9490516,0.4228,2.1171763
0.4757684210526316,1.8889735,0.4396,2.0160816
0.48983157894736845,1.8347191,0.4388,2.0356379
0.49934736842105265,1.791314,0.46799999999999997,1.9165
0.5118315789473684,1.7430483,0.4568000000000001,1.9687636
0.5199789473684211,1.6982937,0.482,1.9041873
0.5343368421052631,1.6586128,0.48039999999999994,1.9024962
0.5424,1.6239839,0.5004,1.8019927
0.5487157894736842,1.5846301,0.4868,1.8670005
0.5586947368421052,1.5579857,0.5052,1.785009
0.5624,1.5257715,0.496,1.7990762
0.5714105263157894,1.4990097,0.5168,1.7905889
0.5798105263157894,1.4712254,0.5272000000000001,1.6957054
0.5840210526315789,1.4415237,0.522,1.7512201
0.5909473684210526,1.4148656,0.5207999999999999,1.7202752
0.5970947368421052,1.3941855,0.5152,1.7576625
0.6038736842105262,1.3692653,0.5228,1.7200823
0.6120631578947369,1.3415595,0.5312,1.6946054
0.6142736842105263,1.3234686,0.5207999999999999,1.7025737
0.6183157894736842,1.303216,0.5356000000000001,1.7077065
0.6258315789473684,1.2794113,0.5428000000000001,1.6917331
0.6325052631578947,1.2577769,0.5444,1.6711253
0.6365684210526316,1.2423782,0.5492,1.7055522
0.6400421052631579,1.2222345,0.55,1.6430632
0.6460631578947368,1.2041533,0.5456,1.7104832
0.6464421052631579,1.1960195,0.5496,1.726605
0.6553263157894738,1.169282,0.5284,1.7020729
0.658842105263158,1.1510699,0.5396,1.6933239
0.6613894736842104,1.1338636,0.5568,1.6404774
0.6697684210526316,1.1163952,0.5484,1.647219
0.6699789473684211,1.108164,0.5579999999999999,1.6372713
0.676778947368421,1.0838274,0.5516,1.6497175
0.6813684210526315,1.0720437,0.5492,1.6739416
0.6836842105263158,1.0566876,0.5572,1.6840825
0.6859789473684211,1.0420197,0.5651999999999999,1.6680428
0.6918947368421052,1.0309011,0.5636,1.6682105
0.6959157894736843,1.0156084,0.564,1.6652231
0.6988421052631578,0.9953866,0.5536,1.6785663
0.7038526315789475,0.98593646,0.56,1.6924882
0.7076210526315789,0.96987,0.5644,1.6776272
0.7123999999999999,0.95675766,0.5776,1.6495271
0.7127157894736841,0.9460636,0.5768000000000001,1.6165783
0.7148210526315789,0.93613935,0.5760000000000001,1.6511676
0.7217052631578946,0.919976,0.5732,1.6670899
0.7250736842105262,0.90795094,0.5676,1.6750897
0.7258315789473684,0.8968436,0.5736000000000001,1.7011559
0.7303578947368422,0.88246244,0.5631999999999999,1.6893872
0.7341263157894735,0.8754663,0.5704,1.6779686
0.7345894736842106,0.8661981,0.5656,1.6852454
0.7390526315789474,0.8457397,0.5711999999999999,1.6973168
0.7438526315789473,0.83464146,0.5708,1.7137717
0.7470736842105263,0.8224675,0.5728,1.702146
0.7488631578947369,0.8228143,0.5736,1.6936755
0.7526105263157895,0.8051938,0.5680000000000001,1.7143795
0.7531789473684211,0.8006176,0.5692,1.6986526
0.7561473684210527,0.78706384,0.5808000000000001,1.72529
0.7597263157894737,0.78462267,0.5872,1.6908199
0.7596421052631579,0.7725454,0.5760000000000001,1.7161348
0.7632421052631578,0.76290876,0.5824,1.730228
0.7678736842105264,0.7517224,0.5868,1.7030813
0.769621052631579,0.7486597,0.5808,1.7166779
0.7722105263157893,0.73989785,0.5868,1.7007931
0.7727578947368421,0.73304117,0.5808,1.7182343
0.7767578947368422,0.7263675,0.584,1.7210802
0.7786526315789474,0.71850276,0.5832,1.7314279
0.7792,0.7133478,0.5904,1.7386402
0.7803789473684211,0.7089115,0.5828,1.7311326
0.7816842105263158,0.6988095,0.5876,1.7198844
0.7833894736842105,0.69648474,0.5871999999999999,1.7278982
0.7856631578947368,0.6906666,0.5864,1.7270335
0.7847368421052632,0.686117,0.5836,1.736628
0.7884842105263158,0.6785191,0.5908,1.7369983
0.7875578947368421,0.6838193,0.5816,1.7582772
0.7900631578947368,0.6765051,0.59,1.7480845
0.7923157894736843,0.67030364,0.5828,1.7548527
0.7910315789473684,0.6657418,0.5879999999999999,1.7575854
0.7961894736842104,0.66384864,0.5876,1.7522153
0.7929263157894737,0.6640285,0.5844,1.7611568
0.7950315789473685,0.6574298,0.5871999999999999,1.7642632
0.7948,0.6528095,0.5884,1.7535379
0.7954315789473685,0.6538485,0.5836,1.7663906
0.7959368421052633,0.6555264,0.5871999999999999,1.7545093
0.7978947368421052,0.65116096,0.5876,1.7619677
0.7977263157894737,0.64908344,0.5852,1.7674452
0.7989473684210526,0.64795995,0.5872,1.7674661
0.7958105263157894,0.6480123,0.5848,1.770353
